Ngành kinh tế,Năm,Thu nhập bình quân
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2022,8.2
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2023,8.6
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2024,9.3
Giáo dục và đào tạo,2019,7.1
Giáo dục và đào tạo,2020,7.1
Giáo dục và đào tạo,2021,7.2
Giáo dục và đào tạo,2022,7.9
Giáo dục và đào tạo,2023,8.3
Giáo dục và đào tạo,2024,9
Y tế và hoạt động trợ giúp xã hội,2019,8
Y tế và hoạt động trợ giúp xã hội,2020,8.2
Y tế và hoạt động trợ giúp xã hội,2021,8.1
Y tế và hoạt động trợ giúp xã hội,2022,8.8
Y tế và hoạt động trợ giúp xã hội,2023,9.1
Y tế và hoạt động trợ giúp xã hội,2024,9.8
"Nghệ thuật, vui chơi và giải trí",2019,6.6
"Nghệ thuật, vui chơi và giải trí",2020,5.9
"Nghệ thuật, vui chơi và giải trí",2021,6.5
"Nghệ thuật, vui chơi và giải trí",2022,7.2
"Nghệ thuật, vui chơi và giải trí",2023,7.6
"Nghệ thuật, vui chơi và giải trí",2024,8.2
Hoạt động dịch vụ khác,2019,5.9
Hoạt động dịch vụ khác,2020,5.5
Hoạt động dịch vụ khác,2021,5.8
Hoạt động dịch vụ khác,2022,6.4
Hoạt động dịch vụ khác,2023,6.9
Hoạt động dịch vụ khác,2024,7.5
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2019,4.8
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2020,4.8
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2021,4.9
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2022,5.2
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2023,5.7
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2024,6.2
