Ngành kinh tế,Năm,Số lao động có việc làm
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2024,1364
Giáo dục và đào tạo,2019,1986
Giáo dục và đào tạo,2020,2007
Giáo dục và đào tạo,2021,1861
Giáo dục và đào tạo,2022,1891
Giáo dục và đào tạo,2023,1976
Giáo dục và đào tạo,2024,2020
Y tế và hoạt động trợ giúp xã hội,2019,612
Y tế và hoạt động trợ giúp xã hội,2020,604
Y tế và hoạt động trợ giúp xã hội,2021,598
Y tế và hoạt động trợ giúp xã hội,2022,598
Y tế và hoạt động trợ giúp xã hội,2023,625
Y tế và hoạt động trợ giúp xã hội,2024,644
"Nghệ thuật, vui chơi và giải trí",2019,272
"Nghệ thuật, vui chơi và giải trí",2020,262
"Nghệ thuật, vui chơi và giải trí",2021,268
"Nghệ thuật, vui chơi và giải trí",2022,281
"Nghệ thuật, vui chơi và giải trí",2023,292
"Nghệ thuật, vui chơi và giải trí",2024,296
Hoạt động dịch vụ khác,2019,1016
Hoạt động dịch vụ khác,2020,1020
Hoạt động dịch vụ khác,2021,1007
Hoạt động dịch vụ khác,2022,1104
Hoạt động dịch vụ khác,2023,1170
Hoạt động dịch vụ khác,2024,1212
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2019,227
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2020,214
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2021,177
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2022,198
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2023,212
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2024,227
