Khu vực,Năm,Lao động có việc làm
Phú Yên,2022,456
Phú Yên,2023,462
Phú Yên,2024,466
Khánh Hòa,2019,672
Khánh Hòa,2020,643
Khánh Hòa,2021,592
Khánh Hòa,2022,651
Khánh Hòa,2023,668
Khánh Hòa,2024,681
Ninh Thuận,2019,329
Ninh Thuận,2020,318
Ninh Thuận,2021,315
Ninh Thuận,2022,327
Ninh Thuận,2023,327
Ninh Thuận,2024,330
Bình Thuận,2019,707
Bình Thuận,2020,694
Bình Thuận,2021,670
Bình Thuận,2022,674
Bình Thuận,2023,685
Bình Thuận,2024,692
Kon Tum,2019,313
Kon Tum,2020,310
Kon Tum,2021,314
Kon Tum,2022,326
Kon Tum,2023,336
Kon Tum,2024,345
Gia Lai,2019,899
Gia Lai,2020,884
Gia Lai,2021,909
Gia Lai,2022,925
Gia Lai,2023,945
Gia Lai,2024,955
Đắk Lắk,2019,1095
Đắk Lắk,2020,1080
Đắk Lắk,2021,1111
Đắk Lắk,2022,1133
Đắk Lắk,2023,1133
Đắk Lắk,2024,1138
Đắk Nông,2019,370
Đắk Nông,2020,367
Đắk Nông,2021,387
Đắk Nông,2022,389
Đắk Nông,2023,392
Đắk Nông,2024,397
Lâm Đồng,2019,764
Lâm Đồng,2020,763
Lâm Đồng,2021,769
Lâm Đồng,2022,793
Lâm Đồng,2023,796
Lâm Đồng,2024,797
Bình Phước,2019,588
Bình Phước,2020,588
Bình Phước,2021,583
Bình Phước,2022,592
Bình Phước,2023,587
Bình Phước,2024,590
Tây Ninh,2019,696
Tây Ninh,2020,681
Tây Ninh,2021,639
Tây Ninh,2022,660
Tây Ninh,2023,669
Tây Ninh,2024,679
Bình Dương,2019,1604
Bình Dương,2020,1598
Bình Dương,2021,1620
Bình Dương,2022,1760
Bình Dương,2023,1845
Bình Dương,2024,1910
Đồng Nai,2019,1738
Đồng Nai,2020,1736
Đồng Nai,2021,1720
Đồng Nai,2022,1746
Đồng Nai,2023,1786
Đồng Nai,2024,1808
Bà Rịa - Vũng Tàu,2019,612
Bà Rịa - Vũng Tàu,2020,578
Bà Rịa - Vũng Tàu,2021,565
Bà Rịa - Vũng Tàu,2022,623
Bà Rịa - Vũng Tàu,2023,613
Bà Rịa - Vũng Tàu,2024,617
TP.Hồ Chí Minh,2019,4693
TP.Hồ Chí Minh,2020,4590
TP.Hồ Chí Minh,2021,4332
TP.Hồ Chí Minh,2022,4507
TP.Hồ Chí Minh,2023,4667
TP.Hồ Chí Minh,2024,4754
Long An,2019,1002
Long An,2020,1009
Long An,2021,972
Long An,2022,982
Long An,2023,995
Long An,2024,1002
Tiền Giang,2019,1105
Tiền Giang,2020,1081
Tiền Giang,2021,983
Tiền Giang,2022,1044
Tiền Giang,2023,1059
Tiền Giang,2024,1067
Bến Tre,2019,815
Bến Tre,2020,811
Bến Tre,2021,761
Bến Tre,2022,772
Bến Tre,2023,773
Bến Tre,2024,774
Trà Vinh,2019,564
Trà Vinh,2020,550
Trà Vinh,2021,517
Trà Vinh,2022,535
Trà Vinh,2023,532
Trà Vinh,2024,531
Vĩnh Long,2019,608
Vĩnh Long,2020,589
Vĩnh Long,2021,568
Vĩnh Long,2022,568
Vĩnh Long,2023,576
Vĩnh Long,2024,585
Đồng Tháp,2019,918
Đồng Tháp,2020,894
Đồng Tháp,2021,869
Đồng Tháp,2022,867
Đồng Tháp,2023,872
Đồng Tháp,2024,877
An Giang,2019,972
An Giang,2020,962
An Giang,2021,884
An Giang,2022,903
An Giang,2023,900
An Giang,2024,901
Kiên Giang,2019,922
Kiên Giang,2020,887
Kiên Giang,2021,878
Kiên Giang,2022,906
Kiên Giang,2023,900
Kiên Giang,2024,902
Cần Thơ,2019,700
Cần Thơ,2020,693
Cần Thơ,2021,563
Cần Thơ,2022,587
Cần Thơ,2023,596
Cần Thơ,2024,607
Hậu Giang,2019,408
Hậu Giang,2020,391
Hậu Giang,2021,374
Hậu Giang,2022,406
Hậu Giang,2023,404
Hậu Giang,2024,407
Sóc Trăng,2019,639
Sóc Trăng,2020,630
Sóc Trăng,2021,597
Sóc Trăng,2022,607
Sóc Trăng,2023,608
Sóc Trăng,2024,610
Bạc Liêu,2019,501
Bạc Liêu,2020,492
Bạc Liêu,2021,471
Bạc Liêu,2022,473
Bạc Liêu,2023,474
Bạc Liêu,2024,476
Cà Mau,2019,678
Cà Mau,2020,656
Cà Mau,2021,583
Cà Mau,2022,602
Cà Mau,2023,616
Cà Mau,2024,624
