Khu vực,Năm,Tỷ lệ dân số biết chữ
Đà Nẵng,2021,98.62
Đà Nẵng,2022,98.7
Đà Nẵng,2023,99.09
Đà Nẵng,2024,99.08
Quảng Nam,2019,96.2
Quảng Nam,2020,95.72
Quảng Nam,2021,95.84
Quảng Nam,2022,96.06
Quảng Nam,2023,97.04
Quảng Nam,2024,97.18
Quảng Ngãi,2019,93.3
Quảng Ngãi,2020,92.97
Quảng Ngãi,2021,93.01
Quảng Ngãi,2022,94.15
Quảng Ngãi,2023,93.55
Quảng Ngãi,2024,94.03
Bình Định,2019,97.2
Bình Định,2020,97.14
Bình Định,2021,96.35
Bình Định,2022,96.43
Bình Định,2023,97.32
Bình Định,2024,97.8
Phú Yên,2019,94.7
Phú Yên,2020,94.5
Phú Yên,2021,95.04
Phú Yên,2022,95.4
Phú Yên,2023,96.15
Phú Yên,2024,96.03
Khánh Hòa,2019,96.2
Khánh Hòa,2020,94.37
Khánh Hòa,2021,96.43
Khánh Hòa,2022,97.37
Khánh Hòa,2023,97.04
Khánh Hòa,2024,96.52
Ninh Thuận,2019,87.9
Ninh Thuận,2020,86.25
Ninh Thuận,2021,87.6
Ninh Thuận,2022,87.53
Ninh Thuận,2023,89.75
Ninh Thuận,2024,88.39
Bình Thuận,2019,94.6
Bình Thuận,2020,94.45
Bình Thuận,2021,95.09
Bình Thuận,2022,94.1
Bình Thuận,2023,97.19
Bình Thuận,2024,96.09
Kon Tum,2019,90
Kon Tum,2020,90.99
Kon Tum,2021,92.28
Kon Tum,2022,92.15
Kon Tum,2023,94.09
Kon Tum,2024,92.62
Gia Lai,2019,85.9
Gia Lai,2020,84.58
Gia Lai,2021,85.99
Gia Lai,2022,89.17
Gia Lai,2023,87.51
Gia Lai,2024,89.28
Đắk Lắk,2019,92.6
Đắk Lắk,2020,88.75
Đắk Lắk,2021,92.77
Đắk Lắk,2022,92.99
Đắk Lắk,2023,95.35
Đắk Lắk,2024,93.16
Đắk Nông,2019,92.7
Đắk Nông,2020,93.92
Đắk Nông,2021,95.13
Đắk Nông,2022,95.17
Đắk Nông,2023,95.53
Đắk Nông,2024,93.43
Lâm Đồng,2019,95.2
Lâm Đồng,2020,94.49
Lâm Đồng,2021,95
Lâm Đồng,2022,95.32
Lâm Đồng,2023,95.43
Lâm Đồng,2024,96.23
Bình Phước,2019,93.8
Bình Phước,2020,94.29
Bình Phước,2021,93.44
Bình Phước,2022,94.76
Bình Phước,2023,94.52
Bình Phước,2024,93.91
Tây Ninh,2019,94.9
Tây Ninh,2020,93.96
Tây Ninh,2021,93.99
Tây Ninh,2022,94.96
Tây Ninh,2023,95.39
Tây Ninh,2024,95.2
Bình Dương,2019,98
Bình Dương,2020,96.57
Bình Dương,2021,97.3
Bình Dương,2022,98.22
Bình Dương,2023,98.54
Bình Dương,2024,98.02
Đồng Nai,2019,97.9
Đồng Nai,2020,97.85
Đồng Nai,2021,97.8
Đồng Nai,2022,97.6
Đồng Nai,2023,98.43
Đồng Nai,2024,98.38
Bà Rịa - Vũng Tàu,2019,97.5
Bà Rịa - Vũng Tàu,2020,97.55
Bà Rịa - Vũng Tàu,2021,97.73
Bà Rịa - Vũng Tàu,2022,98.34
Bà Rịa - Vũng Tàu,2023,98.19
Bà Rịa - Vũng Tàu,2024,98.22
TP.Hồ Chí Minh,2019,99
TP.Hồ Chí Minh,2020,98.74
TP.Hồ Chí Minh,2021,98.87
TP.Hồ Chí Minh,2022,99.09
TP.Hồ Chí Minh,2023,98.82
TP.Hồ Chí Minh,2024,99.21
Long An,2019,96.7
Long An,2020,96.65
Long An,2021,96.29
Long An,2022,96.42
Long An,2023,97.3
Long An,2024,97.37
Tiền Giang,2019,95.9
Tiền Giang,2020,95.08
Tiền Giang,2021,95.55
Tiền Giang,2022,96.37
Tiền Giang,2023,96.62
Tiền Giang,2024,96.8
Bến Tre,2019,95.2
Bến Tre,2020,94.59
Bến Tre,2021,94.46
Bến Tre,2022,95.85
Bến Tre,2023,96.11
Bến Tre,2024,95.44
Trà Vinh,2019,89.5
Trà Vinh,2020,88.7
Trà Vinh,2021,89.68
Trà Vinh,2022,89.56
Trà Vinh,2023,90.94
Trà Vinh,2024,91.97
Vĩnh Long,2019,95.8
Vĩnh Long,2020,94.47
Vĩnh Long,2021,94.21
Vĩnh Long,2022,95.01
Vĩnh Long,2023,96.67
Vĩnh Long,2024,96.95
Đồng Tháp,2019,93.8
Đồng Tháp,2020,92.49
Đồng Tháp,2021,93.83
Đồng Tháp,2022,94.27
