Khu vực,Năm,Diện tích,Dân số,Mật độ dân số
Khánh Hòa,2023,5199.6,1261,242.4
Khánh Hòa,2024,5200.1,1269,244.1
Kiên Giang,2019,6348.8,1724,272
Kiên Giang,2020,6352,1729,272
Kiên Giang,2021,6352,1752,276
Kiên Giang,2022,6352.9,1752,276
Kiên Giang,2023,6352,1755,276.3
Kiên Giang,2024,6352.1,1767,278.1
Kon Tum,2019,9674.2,543,56
Kon Tum,2020,9674.2,556,57
Kon Tum,2021,9677.3,569,59
Kon Tum,2022,9677.3,580,60
Kon Tum,2023,9677.3,591,61.1
Kon Tum,2024,9677.3,602,62.2
Lai Châu,2019,9068.8,463,51
Lai Châu,2020,9068.7,470,52
Lai Châu,2021,9068.7,478,53
Lai Châu,2022,9068.7,482,53
Lai Châu,2023,9068.7,489,54
Lai Châu,2024,9068.7,496,54.6
Long An,2019,4494.9,1695,377
Long An,2020,4494.8,1714,381
Long An,2021,4494.8,1726,384
Long An,2022,4494.8,1734,386
Long An,2023,4494.8,1743,387.9
Long An,2024,4494.8,1756,390.7
Lào Cai,2019,6364,733,115
Lào Cai,2020,6364.2,746,117
Lào Cai,2021,6364.3,762,120
Lào Cai,2022,6364.3,771,121
Lào Cai,2023,6364.2,780,122.5
Lào Cai,2024,6364.3,792,124.5
Lâm Đồng,2019,9783.3,1299,133
Lâm Đồng,2020,9781.2,1310,134
Lâm Đồng,2021,9781.2,1322,135
Lâm Đồng,2022,9781.2,1332,136
Lâm Đồng,2023,9781.2,1345,137.5
Lâm Đồng,2024,9781.2,1362,139.3
Lạng Sơn,2019,8310.1,783,94
Lạng Sơn,2020,8310.2,789,95
Lạng Sơn,2021,8310.2,797,96
Lạng Sơn,2022,8310.2,802,97
Lạng Sơn,2023,8310.2,807,97.1
Lạng Sơn,2024,8310.2,814,98
Nam Định,2019,1668.6,1781,1067
Nam Định,2020,1668.8,1780,1067
Nam Định,2021,1668.8,1836,1100
Nam Định,2022,1668.8,1877,1125
Nam Định,2023,1668.8,1887,1130.8
Nam Định,2024,1668.8,1894,1135
Nghệ An,2019,16481.4,3337,202
Nghệ An,2020,16486.5,3365,204
Nghệ An,2021,16486.5,3410,207
Nghệ An,2022,16486.5,3420,207
Nghệ An,2023,16486.5,3442,208.8
Nghệ An,2024,16486.5,3472,210.6
Ninh Bình,2019,1386.8,984,710
Ninh Bình,2020,1387.1,994,717
Ninh Bình,2021,1411.8,1008,714
Ninh Bình,2022,1411.8,1011,716
Ninh Bình,2023,1411.8,1017,720.4
Ninh Bình,2024,1411.9,1030,729.8
Ninh Thuận,2019,3355.3,591,176
Ninh Thuận,2020,3355.3,594,177
Ninh Thuận,2021,3355.3,596,178
Ninh Thuận,2022,3355.7,599,178
Ninh Thuận,2023,3355.7,601,179.2
Ninh Thuận,2024,3355.8,613,182.6
Phú Thọ,2019,3534.6,1466,415
Phú Thọ,2020,3534.6,1482,419
Phú Thọ,2021,3534.6,1508,427
Phú Thọ,2022,3534.6,1517,429
Phú Thọ,2023,3534.6,1531,433.1
Phú Thọ,2024,3534.6,1544,436.8
Phú Yên,2019,5023.4,873,174
Phú Yên,2020,5026,874,174
Phú Yên,2021,5026,876,174
Phú Yên,2022,5026,877,174
Phú Yên,2023,5026,878,174.6
Phú Yên,2024,5026,885,176.1
Quảng Bình,2019,8000,897,112
Quảng Bình,2020,7998.8,902,113
Quảng Bình,2021,7998.8,911,114
Quảng Bình,2022,7998.8,914,114
Quảng Bình,2023,7998.8,919,114.9
Quảng Bình,2024,7998.8,925,115.6
Quảng Nam,2019,10574.7,1498,142
Quảng Nam,2020,10574.9,1505,142
Quảng Nam,2021,10574.9,1518,144
Quảng Nam,2022,10574.9,1519,144
Quảng Nam,2023,10574.9,1526,144.3
Quảng Nam,2024,10574.9,1544,146
Quảng Ngãi,2019,5155.8,1232,239
Quảng Ngãi,2020,5155.2,1233,239
Quảng Ngãi,2021,5155.3,1244,241
Quảng Ngãi,2022,5155.3,1246,242
Quảng Ngãi,2023,5155.2,1248,242.1
Quảng Ngãi,2024,5155.3,1260,244.4
Quảng Ninh,2019,6178.2,1325,214
Quảng Ninh,2020,6206.9,1338,216
Quảng Ninh,2021,6207.8,1351,218
Quảng Ninh,2022,6207.9,1363,220
Quảng Ninh,2023,6207.9,1381,222.5
Quảng Ninh,2024,6208,1396,225
Quảng Trị,2019,4621.7,633,137
Quảng Trị,2020,4701.2,637,136
Quảng Trị,2021,4701.2,648,138
Quảng Trị,2022,4701.2,651,138
Quảng Trị,2023,4701.2,654,139.2
Quảng Trị,2024,4701.2,659,140.2
Sóc Trăng,2019,3311.9,1200,362
Sóc Trăng,2020,3298.2,1196,363
Sóc Trăng,2021,3298.2,1207,366
Sóc Trăng,2022,3298.2,1198,363
Sóc Trăng,2023,3298.2,1199,363.5
Sóc Trăng,2024,3298.2,1205,365.5
Sơn La,2019,14123.5,1253,89
Sơn La,2020,14109.8,1271,90
Sơn La,2021,14109.8,1288,91
Sơn La,2022,14109.8,1300,92
Sơn La,2023,14109.8,1313,93.1
Sơn La,2024,14108.9,1331,94.3
TP.Hồ Chí Minh,2019,2061.4,9039,4385
TP.Hồ Chí Minh,2020,2095.4,9228,4404
TP.Hồ Chí Minh,2021,2095.4,9167,4375
TP.Hồ Chí Minh,2022,2095.4,9390,4481
