Khu vực,Năm,Lực lượng lao động
Gia Lai,2023,949
Gia Lai,2024,961
Đắk Lắk,2019,1118
Đắk Lắk,2020,1102
Đắk Lắk,2021,1122
Đắk Lắk,2022,1142
Đắk Lắk,2023,1143
Đắk Lắk,2024,1151
Đắk Nông,2019,374
Đắk Nông,2020,373
Đắk Nông,2021,389
Đắk Nông,2022,392
Đắk Nông,2023,395
Đắk Nông,2024,399
Lâm Đồng,2019,770
Lâm Đồng,2020,770
Lâm Đồng,2021,779
Lâm Đồng,2022,798
Lâm Đồng,2023,799
Lâm Đồng,2024,803
Bình Phước,2019,604
Bình Phước,2020,604
Bình Phước,2021,600
Bình Phước,2022,603
Bình Phước,2023,603
Bình Phước,2024,604
Tây Ninh,2019,707
Tây Ninh,2020,693
Tây Ninh,2021,656
Tây Ninh,2022,670
Tây Ninh,2023,679
Tây Ninh,2024,688
Bình Dương,2019,1648
Bình Dương,2020,1651
Bình Dương,2021,1656
Bình Dương,2022,1783
Bình Dương,2023,1871
Bình Dương,2024,1944
Đồng Nai,2019,1766
Đồng Nai,2020,1768
Đồng Nai,2021,1757
Đồng Nai,2022,1777
Đồng Nai,2023,1832
Đồng Nai,2024,1851
Bà Rịa - Vũng Tàu,2019,624
Bà Rịa - Vũng Tàu,2020,597
Bà Rịa - Vũng Tàu,2021,622
Bà Rịa - Vũng Tàu,2022,640
Bà Rịa - Vũng Tàu,2023,629
Bà Rịa - Vũng Tàu,2024,631
TP.Hồ Chí Minh,2019,4826
TP.Hồ Chí Minh,2020,4770
TP.Hồ Chí Minh,2021,4622
TP.Hồ Chí Minh,2022,4690
TP.Hồ Chí Minh,2023,4844
TP.Hồ Chí Minh,2024,4915
Long An,2019,1057
Long An,2020,1029
Long An,2021,993
Long An,2022,999
Long An,2023,1012
Long An,2024,1020
Tiền Giang,2019,1124
Tiền Giang,2020,1112
Tiền Giang,2021,1051
Tiền Giang,2022,1063
Tiền Giang,2023,1082
Tiền Giang,2024,1092
Bến Tre,2019,829
Bến Tre,2020,827
Bến Tre,2021,775
Bến Tre,2022,785
Bến Tre,2023,786
Bến Tre,2024,787
Trà Vinh,2019,579
Trà Vinh,2020,561
Trà Vinh,2021,536
Trà Vinh,2022,547
Trà Vinh,2023,545
Trà Vinh,2024,544
Vĩnh Long,2019,622
Vĩnh Long,2020,604
Vĩnh Long,2021,584
Vĩnh Long,2022,583
Vĩnh Long,2023,590
Vĩnh Long,2024,601
Đồng Tháp,2019,929
Đồng Tháp,2020,917
Đồng Tháp,2021,913
Đồng Tháp,2022,910
Đồng Tháp,2023,914
Đồng Tháp,2024,911
An Giang,2019,1002
An Giang,2020,986
An Giang,2021,922
An Giang,2022,931
An Giang,2023,929
An Giang,2024,931
Kiên Giang,2019,953
Kiên Giang,2020,924
Kiên Giang,2021,918
Kiên Giang,2022,930
Kiên Giang,2023,926
Kiên Giang,2024,929
Cần Thơ,2019,720
Cần Thơ,2020,717
Cần Thơ,2021,584
Cần Thơ,2022,607
Cần Thơ,2023,617
Cần Thơ,2024,629
Hậu Giang,2019,420
Hậu Giang,2020,402
Hậu Giang,2021,394
Hậu Giang,2022,412
Hậu Giang,2023,411
Hậu Giang,2024,414
Sóc Trăng,2019,658
Sóc Trăng,2020,642
Sóc Trăng,2021,614
Sóc Trăng,2022,626
Sóc Trăng,2023,627
Sóc Trăng,2024,630
Bạc Liêu,2019,518
Bạc Liêu,2020,508
Bạc Liêu,2021,481
Bạc Liêu,2022,482
Bạc Liêu,2023,483
Bạc Liêu,2024,486
Cà Mau,2019,691
Cà Mau,2020,670
Cà Mau,2021,597
Cà Mau,2022,610
Cà Mau,2023,626
Cà Mau,2024,636
