Khu vực,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
Hải Phòng,2019,15.9,7.3,8.6
Hải Phòng,2020,14.79,7.05,7.74
Hải Phòng,2021,17.9,6.7,11.18
Hải Phòng,2022,16.3,6.36,9.94
Hải Phòng,2023,14.67,6.11,8.56
Hải Phòng,2024,14.13,6.28,7.85
Hậu Giang,2019,12.4,6.1,6.4
Hậu Giang,2020,13.03,5.83,7.2
Hậu Giang,2021,12.3,7.5,4.76
Hậu Giang,2022,10.1,8.67,1.43
Hậu Giang,2023,10.19,6.06,4.13
Hậu Giang,2024,10.84,5.01,5.83
Khánh Hòa,2019,13.6,5.9,7.7
Khánh Hòa,2020,14.49,5.71,8.78
Khánh Hòa,2021,14.3,7.3,6.98
Khánh Hòa,2022,14.9,5.72,9.18
Khánh Hòa,2023,12.17,6.15,6.02
Khánh Hòa,2024,12.58,6.33,6.25
Kiên Giang,2019,13.9,6.7,7.2
Kiên Giang,2020,14.22,6.4,7.83
Kiên Giang,2021,13.1,5.3,7.78
Kiên Giang,2022,12.8,5.63,7.17
Kiên Giang,2023,11.69,5.29,6.4
Kiên Giang,2024,11.32,5.25,6.06
Kon Tum,2019,21.9,5.5,16.4
Kon Tum,2020,21.76,5.29,16.47
Kon Tum,2021,20.5,5.6,14.98
Kon Tum,2022,20.2,6.63,13.57
Kon Tum,2023,19.07,4.52,14.55
Kon Tum,2024,18.88,5.51,13.37
Lai Châu,2019,21.2,7.2,14
Lai Châu,2020,21.39,6.95,14.43
Lai Châu,2021,22.5,8,14.46
Lai Châu,2022,20.7,6.02,14.68
Lai Châu,2023,20.13,4.34,15.79
Lai Châu,2024,18.26,7.55,10.71
Long An,2019,13.9,5.9,7.9
Long An,2020,14.08,5.71,8.38
Long An,2021,12.9,6.4,6.47
Long An,2022,12.2,7.64,4.56
Long An,2023,12.18,6.25,5.93
Long An,2024,11.12,4.55,6.57
Lào Cai,2019,18.8,5.4,13.5
Lào Cai,2020,19.35,5.18,14.17
Lào Cai,2021,18.8,4.8,14.01
Lào Cai,2022,18.7,6.17,12.53
Lào Cai,2023,20.65,4.84,15.82
Lào Cai,2024,17.8,6.05,11.76
Lâm Đồng,2019,16.7,5.1,11.6
Lâm Đồng,2020,16.65,4.93,11.72
Lâm Đồng,2021,16.3,5.2,11.07
Lâm Đồng,2022,15.2,6.97,8.23
Lâm Đồng,2023,15.23,4.34,10.89
Lâm Đồng,2024,13.76,6.29,7.47
Lạng Sơn,2019,14.1,8.9,5.2
Lạng Sơn,2020,15.2,8.51,6.69
Lạng Sơn,2021,15.3,8,7.36
Lạng Sơn,2022,13.7,6.29,7.41
Lạng Sơn,2023,13.15,7.22,5.92
Lạng Sơn,2024,12.76,9.42,3.34
Nam Định,2019,16.5,7.8,8.7
Nam Định,2020,15.94,7.5,8.43
Nam Định,2021,15.3,7.3,8.02
Nam Định,2022,13.8,7.44,6.36
Nam Định,2023,13.86,5.68,8.18
Nam Định,2024,12.06,9.64,2.42
