Khu vực,Năm,Dân số
Bình Thuận,2022,1252
Bình Thuận,2023,1259
Bình Thuận,2024,1266
Kon Tum,2019,543
Kon Tum,2020,556
Kon Tum,2021,569
Kon Tum,2022,580
Kon Tum,2023,591
Kon Tum,2024,602
Gia Lai,2019,1520
Gia Lai,2020,1542
Gia Lai,2021,1570
Gia Lai,2022,1591
Gia Lai,2023,1614
Gia Lai,2024,1635
Ðắk Lắk,2019,1873
Ðắk Lắk,2020,1887
Ðắk Lắk,2021,1909
Ðắk Lắk,2022,1918
Ðắk Lắk,2023,1931
Ðắk Lắk,2024,1946
Ðắk Nông,2019,626
Ðắk Nông,2020,638
Ðắk Nông,2021,664
Ðắk Nông,2022,671
Ðắk Nông,2023,682
Ðắk Nông,2024,696
Lâm Ðồng,2019,1299
Lâm Ðồng,2020,1310
Lâm Ðồng,2021,1322
Lâm Ðồng,2022,1333
Lâm Ðồng,2023,1345
Lâm Ðồng,2024,1362
Bình Phước,2019,998
Bình Phước,2020,1011
Bình Phước,2021,1024
Bình Phước,2022,1035
Bình Phước,2023,1045
Bình Phước,2024,1062
Tây Ninh,2019,1172
Tây Ninh,2020,1178
Tây Ninh,2021,1182
Tây Ninh,2022,1189
Tây Ninh,2023,1195
Tây Ninh,2024,1203
Bình Dương,2019,2456
Bình Dương,2020,2581
Bình Dương,2021,2597
Bình Dương,2022,2763
Bình Dương,2023,2823
Bình Dương,2024,2871
Ðồng Nai,2019,3114
Ðồng Nai,2020,3177
Ðồng Nai,2021,3169
Ðồng Nai,2022,3256
Ðồng Nai,2023,3311
Ðồng Nai,2024,3365
Bà Rịa - Vũng Tàu,2019,1152
Bà Rịa - Vũng Tàu,2020,1168
Bà Rịa - Vũng Tàu,2021,1176
Bà Rịa - Vũng Tàu,2022,1179
Bà Rịa - Vũng Tàu,2023,1188
Bà Rịa - Vũng Tàu,2024,1195
TP.Hồ Chí Minh,2019,9039
TP.Hồ Chí Minh,2020,9228
TP.Hồ Chí Minh,2021,9167
TP.Hồ Chí Minh,2022,9390
TP.Hồ Chí Minh,2023,9457
TP.Hồ Chí Minh,2024,9544
Long An,2019,1695
Long An,2020,1714
Long An,2021,1726
Long An,2022,1734
Long An,2023,1743
Long An,2024,1756
Tiền Giang,2019,1766
Tiền Giang,2020,1773
Tiền Giang,2021,1779
Tiền Giang,2022,1785
Tiền Giang,2023,1791
Tiền Giang,2024,1796
Bến Tre,2019,1289
Bến Tre,2020,1292
Bến Tre,2021,1296
Bến Tre,2022,1298
Bến Tre,2023,1299
Bến Tre,2024,1306
Trà Vinh,2019,1009
Trà Vinh,2020,1010
Trà Vinh,2021,1019
Trà Vinh,2022,1019
Trà Vinh,2023,1020
Trà Vinh,2024,1024
Vĩnh Long,2019,1023
Vĩnh Long,2020,1023
Vĩnh Long,2021,1029
Vĩnh Long,2022,1029
Vĩnh Long,2023,1030
Vĩnh Long,2024,1037
Ðồng Tháp,2019,1599
Ðồng Tháp,2020,1600
Ðồng Tháp,2021,1601
Ðồng Tháp,2022,1600
Ðồng Tháp,2023,1600
Ðồng Tháp,2024,1601
An Giang,2019,1907
An Giang,2020,1905
An Giang,2021,1910
An Giang,2022,1906
An Giang,2023,1906
An Giang,2024,1913
Kiên Giang,2019,1724
Kiên Giang,2020,1729
Kiên Giang,2021,1752
Kiên Giang,2022,1752
Kiên Giang,2023,1755
Kiên Giang,2024,1767
Cần Thơ,2019,1236
Cần Thơ,2020,1241
Cần Thơ,2021,1247
Cần Thơ,2022,1252
Cần Thơ,2023,1259
Cần Thơ,2024,1272
Hậu Giang,2019,732
Hậu Giang,2020,730
Hậu Giang,2021,730
Hậu Giang,2022,729
Hậu Giang,2023,728
Hậu Giang,2024,730
Sóc Trăng,2019,1200
Sóc Trăng,2020,1196
Sóc Trăng,2021,1207
Sóc Trăng,2022,1198
