Ngành kinh tế,Năm,Năng suất lao động
"Nghệ thuật, vui chơi và giải trí",2020,196
"Nghệ thuật, vui chơi và giải trí",2021,176.7
"Nghệ thuật, vui chơi và giải trí",2022,197.5
"Nghệ thuật, vui chơi và giải trí",2023,220.4
Hoạt động dịch vụ khác,2019,52.7
Hoạt động dịch vụ khác,2020,50
Hoạt động dịch vụ khác,2021,47.5
Hoạt động dịch vụ khác,2022,54
Hoạt động dịch vụ khác,2023,59.1
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2019,43.1
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2020,48.9
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2021,61.2
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2022,58
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2023,60.8
