Khu vực,Năm,Giới tính,Dân số
Bắc Kạn,2019,Nam,160
Bắc Kạn,2020,Nam,161
Bắc Kạn,2021,Nam,165
Bắc Kạn,2022,Nam,165
Bắc Kạn,2023,Nam,166
Bắc Kạn,2024,Nam,168
Bắc Kạn,2019,Nữ,154
Bắc Kạn,2020,Nữ,155
Bắc Kạn,2021,Nữ,159
Bắc Kạn,2022,Nữ,159
Bắc Kạn,2023,Nữ,160
Bắc Kạn,2024,Nữ,162
Tuyên Quang,2019,Nam,396
Tuyên Quang,2020,Nam,399
Tuyên Quang,2021,Nam,404
Tuyên Quang,2022,Nam,408
Tuyên Quang,2023,Nam,411
Tuyên Quang,2024,Nam,413
Tuyên Quang,2019,Nữ,390
Tuyên Quang,2020,Nữ,394
Tuyên Quang,2021,Nữ,398
Tuyên Quang,2022,Nữ,398
Tuyên Quang,2023,Nữ,401
Tuyên Quang,2024,Nữ,407
Lào Cai,2019,Nam,373
Lào Cai,2020,Nam,380
Lào Cai,2021,Nam,387
Lào Cai,2022,Nam,393
Lào Cai,2023,Nam,398
Lào Cai,2024,Nam,404
Lào Cai,2019,Nữ,360
Lào Cai,2020,Nữ,366
Lào Cai,2021,Nữ,375
Lào Cai,2022,Nữ,378
Lào Cai,2023,Nữ,382
Lào Cai,2024,Nữ,388
Yên Bái,2019,Nam,414
Yên Bái,2020,Nam,419
Yên Bái,2021,Nam,425
Yên Bái,2022,Nam,427
Yên Bái,2023,Nam,432
Yên Bái,2024,Nam,436
Yên Bái,2019,Nữ,409
Yên Bái,2020,Nữ,412
Yên Bái,2021,Nữ,418
Yên Bái,2022,Nữ,420
Yên Bái,2023,Nữ,424
Yên Bái,2024,Nữ,428
Thái Nguyên,2019,Nam,631
Thái Nguyên,2020,Nam,639
Thái Nguyên,2021,Nam,646
Thái Nguyên,2022,Nam,652
Thái Nguyên,2023,Nam,659
Thái Nguyên,2024,Nam,666
Thái Nguyên,2019,Nữ,660
Thái Nguyên,2020,Nữ,669
Thái Nguyên,2021,Nữ,677
Thái Nguyên,2022,Nữ,684
Thái Nguyên,2023,Nữ,691
Thái Nguyên,2024,Nữ,699
Lạng Sơn,2019,Nam,400
Lạng Sơn,2020,Nam,403
Lạng Sơn,2021,Nam,407
Lạng Sơn,2022,Nam,410
Lạng Sơn,2023,Nam,413
Lạng Sơn,2024,Nam,416
Lạng Sơn,2019,Nữ,383
Lạng Sơn,2020,Nữ,385
Lạng Sơn,2021,Nữ,390
Lạng Sơn,2022,Nữ,392
Lạng Sơn,2023,Nữ,394
Lạng Sơn,2024,Nữ,398
Bắc Giang,2019,Nam,909
Bắc Giang,2020,Nam,925
Bắc Giang,2021,Nam,942
Bắc Giang,2022,Nam,953
Bắc Giang,2023,Nam,969
Bắc Giang,2024,Nam,989
Bắc Giang,2019,Nữ,902
Bắc Giang,2020,Nữ,916
Bắc Giang,2021,Nữ,933
Bắc Giang,2022,Nữ,938
Bắc Giang,2023,Nữ,954
Bắc Giang,2024,Nữ,974
Phú Thọ,2019,Nam,729
Phú Thọ,2020,Nam,736
Phú Thọ,2021,Nam,748
Phú Thọ,2022,Nam,756
Phú Thọ,2023,Nam,763
Phú Thọ,2024,Nam,769
Phú Thọ,2019,Nữ,737
Phú Thọ,2020,Nữ,746
Phú Thọ,2021,Nữ,760
Phú Thọ,2022,Nữ,761
Phú Thọ,2023,Nữ,768
Phú Thọ,2024,Nữ,774
Ðiện Biên,2019,Nam,305
Ðiện Biên,2020,Nam,311
Ðiện Biên,2021,Nam,317
Ðiện Biên,2022,Nam,323
Ðiện Biên,2023,Nam,328
Ðiện Biên,2024,Nam,334
Ðiện Biên,2019,Nữ,297
Ðiện Biên,2020,Nữ,302
Ðiện Biên,2021,Nữ,308
Ðiện Biên,2022,Nữ,313
Ðiện Biên,2023,Nữ,318
Ðiện Biên,2024,Nữ,323
Lai Châu,2019,Nam,236
Lai Châu,2020,Nam,238
Lai Châu,2021,Nam,242
Lai Châu,2022,Nam,244
Lai Châu,2023,Nam,248
Lai Châu,2024,Nam,250
Lai Châu,2019,Nữ,227
Lai Châu,2020,Nữ,231
Lai Châu,2021,Nữ,236
Lai Châu,2022,Nữ,238
Lai Châu,2023,Nữ,241
