Khu vực,Năm,Loại khu vực,Dân số
Hà Giang,2019,Nông thôn,721
Hà Giang,2020,Nông thôn,732
Hà Giang,2021,Nông thôn,747
Hà Giang,2022,Nông thôn,750
Hà Giang,2023,Nông thôn,755
Hà Giang,2024,Nông thôn,763
Cao Bằng,2019,Thành thị,124
Cao Bằng,2020,Thành thị,136
Cao Bằng,2021,Thành thị,138
Cao Bằng,2022,Thành thị,138
Cao Bằng,2023,Thành thị,140
Cao Bằng,2024,Thành thị,142
Cao Bằng,2019,Nông thôn,406
Cao Bằng,2020,Nông thôn,397
Cao Bằng,2021,Nông thôn,404
Cao Bằng,2022,Nông thôn,405
Cao Bằng,2023,Nông thôn,408
Cao Bằng,2024,Nông thôn,416
Bắc Kạn,2019,Thành thị,66
Bắc Kạn,2020,Thành thị,71
Bắc Kạn,2021,Thành thị,73
Bắc Kạn,2022,Thành thị,74
Bắc Kạn,2023,Thành thị,79
Bắc Kạn,2024,Thành thị,81
Bắc Kạn,2019,Nông thôn,249
Bắc Kạn,2020,Nông thôn,245
Bắc Kạn,2021,Nông thôn,251
Bắc Kạn,2022,Nông thôn,251
Bắc Kạn,2023,Nông thôn,248
Bắc Kạn,2024,Nông thôn,248
Tuyên Quang,2019,Thành thị,109
Tuyên Quang,2020,Thành thị,110
Tuyên Quang,2021,Thành thị,111
Tuyên Quang,2022,Thành thị,121
Tuyên Quang,2023,Thành thị,123
Tuyên Quang,2024,Thành thị,159
Tuyên Quang,2019,Nông thôn,678
Tuyên Quang,2020,Nông thôn,683
Tuyên Quang,2021,Nông thôn,690
Tuyên Quang,2022,Nông thôn,685
Tuyên Quang,2023,Nông thôn,689
Tuyên Quang,2024,Nông thôn,661
Lào Cai,2019,Thành thị,172
Lào Cai,2020,Thành thị,197
Lào Cai,2021,Thành thị,202
Lào Cai,2022,Thành thị,206
Lào Cai,2023,Thành thị,211
Lào Cai,2024,Thành thị,215
Lào Cai,2019,Nông thôn,562
Lào Cai,2020,Nông thôn,549
Lào Cai,2021,Nông thôn,560
Lào Cai,2022,Nông thôn,564
Lào Cai,2023,Nông thôn,569
Lào Cai,2024,Nông thôn,577
Yên Bái,2019,Thành thị,163
Yên Bái,2020,Thành thị,172
Yên Bái,2021,Thành thị,175
Yên Bái,2022,Thành thị,177
Yên Bái,2023,Thành thị,179
Yên Bái,2024,Thành thị,181
Yên Bái,2019,Nông thôn,660
Yên Bái,2020,Nông thôn,660
Yên Bái,2021,Nông thôn,668
Yên Bái,2022,Nông thôn,671
Yên Bái,2023,Nông thôn,676
Yên Bái,2024,Nông thôn,683
Thái Nguyên,2019,Thành thị,414
Thái Nguyên,2020,Thành thị,420
Thái Nguyên,2021,Thành thị,425
Thái Nguyên,2022,Thành thị,526
Thái Nguyên,2023,Thành thị,549
Thái Nguyên,2024,Thành thị,556
Thái Nguyên,2019,Nông thôn,877
Thái Nguyên,2020,Nông thôn,888
Thái Nguyên,2021,Nông thôn,898
Thái Nguyên,2022,Nông thôn,810
Thái Nguyên,2023,Nông thôn,801
Thái Nguyên,2024,Nông thôn,809
Lạng Sơn,2019,Thành thị,160
Lạng Sơn,2020,Thành thị,182
Lạng Sơn,2021,Thành thị,184
Lạng Sơn,2022,Thành thị,186
Lạng Sơn,2023,Thành thị,187
Lạng Sơn,2024,Thành thị,192
Lạng Sơn,2019,Nông thôn,622
Lạng Sơn,2020,Nông thôn,607
Lạng Sơn,2021,Nông thôn,613
Lạng Sơn,2022,Nông thôn,616
Lạng Sơn,2023,Nông thôn,620
Lạng Sơn,2024,Nông thôn,622
Bắc Giang,2019,Thành thị,207
Bắc Giang,2020,Thành thị,334
Bắc Giang,2021,Thành thị,342
Bắc Giang,2022,Thành thị,370
Bắc Giang,2023,Thành thị,379
Bắc Giang,2024,Thành thị,476
Bắc Giang,2019,Nông thôn,1603
Bắc Giang,2020,Nông thôn,1508
Bắc Giang,2021,Nông thôn,1534
Bắc Giang,2022,Nông thôn,1521
Bắc Giang,2023,Nông thôn,1543
Bắc Giang,2024,Nông thôn,1487
Phú Thọ,2019,Thành thị,269
Phú Thọ,2020,Thành thị,282
Phú Thọ,2021,Thành thị,288
Phú Thọ,2022,Thành thị,294
Phú Thọ,2023,Thành thị,297
Phú Thọ,2024,Thành thị,301
Phú Thọ,2019,Nông thôn,1197
Phú Thọ,2020,Nông thôn,1200
Phú Thọ,2021,Nông thôn,1220
Phú Thọ,2022,Nông thôn,1223
Phú Thọ,2023,Nông thôn,1234
Phú Thọ,2024,Nông thôn,1243
Ðiện Biên,2019,Thành thị,87
Ðiện Biên,2020,Thành thị,93
Ðiện Biên,2021,Thành thị,95
Ðiện Biên,2022,Thành thị,97
Ðiện Biên,2023,Thành thị,98
Ðiện Biên,2024,Thành thị,100
Ðiện Biên,2019,Nông thôn,515
Ðiện Biên,2020,Nông thôn,520
Ðiện Biên,2021,Nông thôn,530
Ðiện Biên,2022,Nông thôn,539
Ðiện Biên,2023,Nông thôn,548
Ðiện Biên,2024,Nông thôn,557
Lai Châu,2019,Thành thị,68
Lai Châu,2020,Thành thị,82
Lai Châu,2021,Thành thị,85
Lai Châu,2022,Thành thị,85
Lai Châu,2023,Thành thị,86
Lai Châu,2024,Thành thị,88
Lai Châu,2019,Nông thôn,395
Lai Châu,2020,Nông thôn,388
Lai Châu,2021,Nông thôn,394
Lai Châu,2022,Nông thôn,397
Lai Châu,2023,Nông thôn,403
Lai Châu,2024,Nông thôn,408
Sơn La,2019,Thành thị,174
Sơn La,2020,Thành thị,176
Sơn La,2021,Thành thị,180
Sơn La,2022,Thành thị,182
Sơn La,2023,Thành thị,186
Sơn La,2024,Thành thị,192
Sơn La,2019,Nông thôn,1079
Sơn La,2020,Nông thôn,1094
Sơn La,2021,Nông thôn,1108
Sơn La,2022,Nông thôn,1118
Sơn La,2023,Nông thôn,1128
Sơn La,2024,Nông thôn,1139
Hòa Bình,2019,Thành thị,135
Hòa Bình,2020,Thành thị,205
Hòa Bình,2021,Thành thị,209
Hòa Bình,2022,Thành thị,223
Hòa Bình,2023,Thành thị,226
Hòa Bình,2024,Thành thị,234
Hòa Bình,2019,Nông thôn,721
Hòa Bình,2020,Nông thôn,656
Hòa Bình,2021,Nông thôn,663
Hòa Bình,2022,Nông thôn,653
Hòa Bình,2023,Nông thôn,654
Hòa Bình,2024,Nông thôn,660
Thanh Hóa,2019,Thành thị,547
Thanh Hóa,2020,Thành thị,853
Thanh Hóa,2021,Thành thị,993
Thanh Hóa,2022,Thành thị,1030
Thanh Hóa,2023,Thành thị,1036
Thanh Hóa,2024,Thành thị,1058
Thanh Hóa,2019,Nông thôn,3099
Thanh Hóa,2020,Nông thôn,2812
Thanh Hóa,2021,Nông thôn,2723
Thanh Hóa,2022,Nông thôn,2692
Thanh Hóa,2023,Nông thôn,2703
Thanh Hóa,2024,Nông thôn,2706
Nghệ An,2019,Thành thị,490
Nghệ An,2020,Thành thị,522
Nghệ An,2021,Thành thị,529
Nghệ An,2022,Thành thị,530
Nghệ An,2023,Thành thị,540
Nghệ An,2024,Thành thị,546
Nghệ An,2019,Nông thôn,2847
Nghệ An,2020,Nông thôn,2844
Nghệ An,2021,Nông thôn,2880
Nghệ An,2022,Nông thôn,2890
Nghệ An,2023,Nông thôn,2902
Nghệ An,2024,Nông thôn,2926
Hà Tĩnh,2019,Thành thị,254
Hà Tĩnh,2020,Thành thị,288
Hà Tĩnh,2021,Thành thị,293
Hà Tĩnh,2022,Thành thị,294
Hà Tĩnh,2023,Thành thị,298
Hà Tĩnh,2024,Thành thị,300
Hà Tĩnh,2019,Nông thôn,1036
Hà Tĩnh,2020,Nông thôn,1009
Hà Tĩnh,2021,Nông thôn,1021
Hà Tĩnh,2022,Nông thôn,1024
Hà Tĩnh,2023,Nông thôn,1026
Hà Tĩnh,2024,Nông thôn,1029
Quảng Bình,2019,Thành thị,188
Quảng Bình,2020,Thành thị,207
Quảng Bình,2021,Thành thị,210
Quảng Bình,2022,Thành thị,212
Quảng Bình,2023,Thành thị,215
Quảng Bình,2024,Thành thị,217
Quảng Bình,2019,Nông thôn,708
Quảng Bình,2020,Nông thôn,695
Quảng Bình,2021,Nông thôn,701
Quảng Bình,2022,Nông thôn,702
Quảng Bình,2023,Nông thôn,704
Quảng Bình,2024,Nông thôn,708
Quảng Trị,2019,Thành thị,196
