Khu vực,Năm,Tỷ số giới tính
Đà Nẵng,2021,97.91
Đà Nẵng,2022,98.18
Đà Nẵng,2023,97.39
Đà Nẵng,2024,98.27
Quảng Nam,2019,96.8
Quảng Nam,2020,96.82
Quảng Nam,2021,96.82
Quảng Nam,2022,97.6
Quảng Nam,2023,95.36
Quảng Nam,2024,97.63
Quảng Ngãi,2019,97.75
Quảng Ngãi,2020,97.76
Quảng Ngãi,2021,97.76
Quảng Ngãi,2022,99.13
Quảng Ngãi,2023,97.5
Quảng Ngãi,2024,99.16
Bình Định,2019,97.03
Bình Định,2020,97.05
Bình Định,2021,97.05
Bình Định,2022,98.87
Bình Định,2023,96.09
Bình Định,2024,98.9
Phú Yên,2019,101.22
Phú Yên,2020,101.18
Phú Yên,2021,101.17
Phú Yên,2022,101.64
Phú Yên,2023,100.08
Phú Yên,2024,101.67
Khánh Hòa,2019,99.05
Khánh Hòa,2020,99.19
Khánh Hòa,2021,99.16
Khánh Hòa,2022,99.46
Khánh Hòa,2023,99.51
Khánh Hòa,2024,99.43
Ninh Thuận,2019,100.57
Ninh Thuận,2020,102.08
Ninh Thuận,2021,102.08
Ninh Thuận,2022,102.77
Ninh Thuận,2023,98.19
Ninh Thuận,2024,102.8
Bình Thuận,2019,100.99
Bình Thuận,2020,101.13
Bình Thuận,2021,101.23
Bình Thuận,2022,101.66
Bình Thuận,2023,99.55
Bình Thuận,2024,101.66
Kon Tum,2019,101
Kon Tum,2020,100.83
Kon Tum,2021,100.71
Kon Tum,2022,101.02
Kon Tum,2023,101.48
Kon Tum,2024,101.66
Gia Lai,2019,100.43
Gia Lai,2020,100.57
Gia Lai,2021,100.56
Gia Lai,2022,100.59
Gia Lai,2023,97.82
Gia Lai,2024,100.35
Đắk Lắk,2019,101.7
Đắk Lắk,2020,101.87
Đắk Lắk,2021,101.86
Đắk Lắk,2022,102.18
Đắk Lắk,2023,101.98
Đắk Lắk,2024,102.19
Đắk Nông,2019,106.34
Đắk Nông,2020,104.98
Đắk Nông,2021,104.98
Đắk Nông,2022,104.76
Đắk Nông,2023,102.86
Đắk Nông,2024,104.51
Lâm Đồng,2019,101.44
Lâm Đồng,2020,101.43
Lâm Đồng,2021,101.45
Lâm Đồng,2022,101.65
Lâm Đồng,2023,98.74
Lâm Đồng,2024,101.38
Bình Phước,2019,101.65
Bình Phước,2020,101.64
Bình Phước,2021,101.61
Bình Phước,2022,101.73
Bình Phước,2023,97.79
Bình Phước,2024,101.33
Tây Ninh,2019,99.88
Tây Ninh,2020,100.11
Tây Ninh,2021,100.11
Tây Ninh,2022,100.61
Tây Ninh,2023,97.69
Tây Ninh,2024,100.32
Bình Dương,2019,101.36
Bình Dương,2020,105
Bình Dương,2021,101.58
Bình Dương,2022,102.04
Bình Dương,2023,103.25
Bình Dương,2024,108.08
Đồng Nai,2019,100.68
Đồng Nai,2020,103.12
Đồng Nai,2021,103.12
Đồng Nai,2022,99.3
Đồng Nai,2023,101.35
Đồng Nai,2024,101.36
Bà Rịa - Vũng Tàu,2019,100.74
Bà Rịa - Vũng Tàu,2020,98.3
Bà Rịa - Vũng Tàu,2021,98.3
Bà Rịa - Vũng Tàu,2022,99.49
Bà Rịa - Vũng Tàu,2023,99.37
Bà Rịa - Vũng Tàu,2024,99.52
TP.Hồ Chí Minh,2019,95.07
TP.Hồ Chí Minh,2020,94.93
TP.Hồ Chí Minh,2021,96.86
TP.Hồ Chí Minh,2022,94.36
TP.Hồ Chí Minh,2023,93.46
TP.Hồ Chí Minh,2024,94.1
Long An,2019,99.52
Long An,2020,99.68
Long An,2021,99.68
Long An,2022,99.72
Long An,2023,97.73
Long An,2024,99.75
Tiền Giang,2019,96.38
Tiền Giang,2020,96.15
Tiền Giang,2021,96.13
Tiền Giang,2022,96.97
Tiền Giang,2023,96.43
Tiền Giang,2024,97.01
Bến Tre,2019,95.81
Bến Tre,2020,96.03
Bến Tre,2021,96.03
Bến Tre,2022,97.4
Bến Tre,2023,95.89
Bến Tre,2024,97.43
Trà Vinh,2019,96.98
Trà Vinh,2020,96.85
Trà Vinh,2021,96.85
Trà Vinh,2022,97.55
Trà Vinh,2023,95.99
Trà Vinh,2024,97.58
Vĩnh Long,2019,97.1
Vĩnh Long,2020,97.09
Vĩnh Long,2021,97.11
Vĩnh Long,2022,97.81
Vĩnh Long,2023,95.85
Vĩnh Long,2024,97.84
Đồng Tháp,2019,99.87
Đồng Tháp,2020,99.81
Đồng Tháp,2021,99.81
Đồng Tháp,2022,102.32
Đồng Tháp,2023,100.28
Đồng Tháp,2024,100.19
An Giang,2019,98.62
An Giang,2020,98.61
An Giang,2021,98.63
An Giang,2022,101.66
An Giang,2023,97.34
An Giang,2024,98.64
Kiên Giang,2019,102.8
Kiên Giang,2020,102.84
Kiên Giang,2021,102.97
Kiên Giang,2022,104.78
Kiên Giang,2023,103.63
Kiên Giang,2024,104.82
Cần Thơ,2019,98.39
Cần Thơ,2020,98.65
Cần Thơ,2021,98.6
Cần Thơ,2022,98.56
Cần Thơ,2023,99.91
Cần Thơ,2024,98.63
Hậu Giang,2019,99.81
Hậu Giang,2020,101.38
Hậu Giang,2021,101.38
Hậu Giang,2022,102.5
Hậu Giang,2023,99.9
Hậu Giang,2024,102.53
Sóc Trăng,2019,99.38
Sóc Trăng,2020,99.34
Sóc Trăng,2021,99.34
Sóc Trăng,2022,102.53
Sóc Trăng,2023,98.66
Sóc Trăng,2024,102.55
Bạc Liêu,2019,100.19
Bạc Liêu,2020,100.15
Bạc Liêu,2021,100.1
Bạc Liêu,2022,100.54
Bạc Liêu,2023,101.34
Bạc Liêu,2024,100.59
Cà Mau,2019,102.63
Cà Mau,2020,102.64
Cà Mau,2021,102.64
Cà Mau,2022,104.52
Cà Mau,2023,100.61
Cà Mau,2024,104.56
